account_id,account_name,matter_id,matter_name,practice_area,matter_category,open_date,all_time_entry_text,total_hours,total_billing,avg_rate,n_time_entries,n_unique_users,all_context_text,has_useful_text,has_practice_area,has_category,evidence_quality_score
93,Wealth Planning Law Group,2877,custody,NA,NA,2024-01-25,,0.2,0,0,1,1,Matter name: custody Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,3072,postjudgment,NA,NA,2024-02-27,closing file,0.2,0,0,1,1,Matter name: postjudgment Practice area: Matter category: Time entry evidence: closing file,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4259,divorce,NA,NA,2018-07-02,,4.137777777777778,1295,240.9090909090909,11,3,Matter name: divorce Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4278,probate,NA,NA,2017-03-27,,0.8386111111111111,0,0,4,2,Matter name: probate Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4280,firm time for 2018,NA,NA,2018-07-02,,8.883333333333333,0,0,17,4,Matter name: firm time for 2018 Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4281,time for training,NA,NA,2018-07-02,draft psp team teams time entries secure message meeting linda attend pwl elite coaching meeting linda vanessa family law software secure message clarity telephone conference melissa review revise revised psps questions availability signing telephone conference linda questions availability signing telephone conference rosie onenote file secure message melissa attend pwl elite coaching call receipt message melissa review respond directions secure message team teams attend pwl elite coaching call syncing onenote staff meeting onenote training staff meeting review onenote updates triage email prepare presentation thursday training meeting read family law institute read family law institute watch draft pleading helped vanessa schedule times melissa telephone conference vanessa tasks telephone conference rosie tasks telephone conference linda acuity telephone conference linda telephone conference rosie tasks read atf national firearms handbook telephone conference rosie tasks assigned send secure messages teams staff training attend pwl elite coaching call time entries pncs telephone conference linda pnc telephone conference linda staff meeting psps questions telephone conference rosie meeting linda zoom time entries record video apply ein monthly training staff meeting read guidebook civil discovery receipt message melissa review respond questions tasks telephone conference rosie review timekeeping psps revise time entries watch employee training zoom meeting client intake receipt message kayelyn teams review respond draft agenda meeting attend pwl elite coaching call review lawyaw website tool review onenote kayelyn presentation filing staff meeting review onenote kayelyn acuity calendar staff meeting acuity calendar telephone conference kayelyn questionnaire send divorce clients secure message team teams receipt message melissa review respond prepare presentation psp meeting review revise psp review revise psps revise psp revised psps staff meeting transferring calls telephone conference kayelyn staff meeting onboarding deidre telephone conference deidre testing vonage read policies procedures attendance prepare presentation psps review revise psps meeting linda recap yesterday training watch video attendance policy read policies procedures dress code prepare presentation psps watch video log clio manage email melissa proper email signature watch video navigating sharepoint attend pwl elite coaching call meeting linda training questions vonage issues read eat frog staff meeting onboarding linda watch video uploading documents client matter watch video uploading documents client matter review complete exercises routine outgoing correspondence review revise psps review complete exercises routine outgoing correspondence read cell phone usage policy email melissa completed exercises eat frog register fls webinars watch video setting word branding review divorce intake questionnaire draft initial pleadings review divorce intake questionnaire draft initial pleadings listen sales process listen charles marlatt initial call listen bernardo muguerza initial call watch video updating calendar clio manage read policies procedures pre conditioning leads watch video update spreadsheets review onenote firearm training watch video save documents meeting deidre training watch video familiarize sharepoint folders watch video extracting adobe pages watch video combining files adobe watch video combining files adobe draft response final exercise mindset training deidre draft response final exercise mindset draft response final exercise mindset watch video sending initial intake form watch video sending email campaigns watch video entering pncs clio grow watch video adding pre engagement glidepath receipt message deidre review respond watch policies procedures meeting training purposes training secure message deidre meeting deidre training watch video entering payments systems watch client outstanding balances watch video watch video training folder watch handling telephone calls time entries task entries melissa staff meeting updating calendar deidre staff meeting training linda placing outbound calls training linda placing outbound calls attend pwl elite coaching call read atf firearms handbook draft meeting agenda meeting melissa weekly check attend pwl elite coaching call read atf firearms handbook watch video watch video attendance policy watch video log clio manage watch video accounting time clio manage read policies accounting time watch video setting email signature watch video save file read policies procedures saving files read eat frog exercises download section read policies procedures dress code email melissa employee handbook acknowledgement meeting madeline yesterday tasks read eat frog exercises download section attend pwl elite coaching call questions judgment divorce telephone conference kayelyn training staff meeting read eat frog exercises download section training resources quickbooks listen january lqm manage law firm receipt message rosie teams review respond watch video uploading documents client matter meeting melissa weekly check watch video sending documents client watch video setting word branding training deidre questions clio grow kanban board read eat frog exercises download section review onenote policies procedures watch dreams lives wintley phipps watch melissa loom video read eat frog exercises download section review onenote policies procedures watch quickbooks video review onenote policies procedures ahead closing files secure message team teams secure message royce answer questions divorce child support spousal support icle legal research meeting rosie watch clio clients videos training staff meeting psps staff meeting procedure left voicemail telephone conference linda telephone conference rosie day letters staff meeting psp read day lawfirm turnaround meeting linda pnc watch core values video attend pwl elite coaching call psp monthly meeting staff meeting read research guardianship attend pwl elite coaching call strategy meetings staff meeting ein application video secure message melissa record video file watch psp training video watch staff meeting training intake moving documents matters film video watch video completing checklist intake meeting deidre weekly check draft policy system procedure uploading marketing spreadsheet gngf meeting madeline introduction firm software watch psp meeting training staff meeting monthly training staff meeting proofreading secure messages secure message team teams read policies procedures pre conditioning leads watch video updating calendar clio manage watch video scheduling appointment watch client quarterly meetings read atf firearms handbook watch video dress code watch video franklin planner watch video navigating sharepoint meeting linda clio kanban board review microsoft word academy tips tools accounting process wayne county melissa staff meeting staff meeting melissa training presentation lawyaw platform staff meeting watch video dress code watch video setting electronic file watch training video break documents read introduction mindset watch psp meeting meeting madeline training meeting deidre introduction firm software watch dreams lives wintley phipps policies systems procedures staff meeting watch video employee handbook email melissa proper email signature read cell phone usage policy read employee handbook meeting melissa watch video processing documents watch video creating pdf watermark outbound call issues telephone conference linda meeting deidre creating invoices attend pwl elite coaching listen policy procedure meeting draft response final exercise mindset training linda attend clio grow intake webinar adding expense client file telephone conference linda drafting mediation summaries staff meeting draft revised psps review onenote meeting melissa recap friday training watch video adding channels microsoft teams listen time entries policies procedures meeting watch video secure messaging clients review onenote staff meeting onboarding deidre training meeting deidre training time review microsoft word academy tips tools policies procedures staff meeting review onenote training staff meeting prepare presentation psp meeting revise psps meeting deidre recap yesterday training watch video franklin planner telephone conference linda kajabi meeting melissa email rules triage meeting deidre sales process watch staff training video prepare presentation psp meeting transferring calls telephone conference rosie listen time entries policies procedures meeting update records time entries week policies procedures staff meeting secure message clarity telephone conference linda division secure message team teams lawyaw staff meeting revise psp watch video employee handbook watch video save file read policies procedures saving files check emails read assignment policies procedures staff meeting drafting issues onenote secure message team teams review revise revised psps review onenote kayelyn acuity calendar staff meeting setting windows film video meeting deidre training questions vonage issues read policies accounting time meeting deidre yesterday training read policies procedures psps staff meeting zoom meeting staff meeting review presentation melissa training deidre time entries tasks watch family law software video loom read family law institute book prioritize day prioritize day review onenote training deidre placing outbound calls meeting rosie monthly file reviews watch video closing files clio grow read policies procedures attendance email melissa signed acknowledgement cell phone usage policy watch training video processing law pay emails recording transaction motion fee telephone conference rosie meeting deidre weekly check watch video familiarize sharepoint folders issues placing outbound calls telephone conference deidre watch reviewing documents deadlines watch handling telephone calls loom video film video meeting deidre clio kanban board watch video calendaring appointments receipt message melissa review respond review onenote enter terms define listen talandra dildy initial call draft email melissa training listen january lqm manage law firm watch video mission core values telephone conference deidre kajabi training linda time entries tasks revise psps meeting melissa introduction firm software watch video technology software requirements watch video accounting time clio manage telephone conference linda testing vonage revise onenote atf form prepare training presentation email melissa properly set email signature listen jessica mccarty initial call review onenote read eat frog exercises download section training tasks meeting linda yesterday training training deidre watch training video loom family law software policies procedures staff meeting staff meeting lawyaw platform staff meeting review complete exercises routine outgoing correspondence read atf firearms handbook policies procedures staff meeting read handbook legal terms receipt message deidre review respond training melissa meeting melissa introduction firm software drafting mediation summaries staff meeting watch video familiarize sharepoint folders psp monthly meeting staff meeting prepare presentation telephone policies psps staff meeting drafting inventory film video read trust administration research listen decisions receipt message melissa review respond staff meeting onboarding linda read introduction mindset review onenote watch video listen dorris initial call meeting linda yesterday training watch video setting email signature review complete exercise understanding contract legal services review onenote read atf firearms handbook draft procedures onenote receipt motions watch video sending pre engagement agreement documents potential client prepare training meeting watch psp meeting review onenote policies procedures meeting linda time entries tasks,5225.740555555555,0,0,358,8,Matter name: time for training Practice area: Matter category: Time entry evidence: draft psp team teams time entries secure message meeting linda attend pwl elite coaching meeting linda vanessa family law software secure message clarity telephone conference melissa review revise revised psps questions availability signing telephone conference linda questions availability signing telephone conference rosie onenote file secure message melissa attend pwl elite coaching call receipt message melissa review respond directions secure message team teams attend pwl elite coaching call syncing onenote staff meeting onenote training staff meeting review onenote updates triage email prepare presentation thursday training meeting read family law institute read family law institute watch draft pleading helped vanessa schedule times melissa telephone conference vanessa tasks telephone conference rosie tasks telephone conference linda acuity telephone conference linda telephone conference rosie tasks read atf national firearms handbook telephone conference rosie tasks assigned send secure messages teams staff training attend pwl elite coaching call time entries pncs telephone conference linda pnc telephone conference linda staff meeting psps questions telephone conference rosie meeting linda zoom time entries record video apply ein monthly training staff meeting read guidebook civil discovery receipt message melissa review respond questions tasks telephone conference rosie review timekeeping psps revise time entries watch employee training zoom meeting client intake receipt message kayelyn teams review respond draft agenda meeting attend pwl elite coaching call review lawyaw website tool review onenote kayelyn presentation filing staff meeting review onenote kayelyn acuity calendar staff meeting acuity calendar telephone conference kayelyn questionnaire send divorce clients secure message team teams receipt message melissa review respond prepare presentation psp meeting review revise psp review revise psps revise psp revised psps staff meeting transferring calls telephone conference kayelyn staff meeting onboarding deidre telephone conference deidre testing vonage read policies procedures attendance prepare presentation psps review revise psps meeting linda recap yesterday training watch video attendance policy read policies procedures dress code prepare presentation psps watch video log clio manage email melissa proper email signature watch video navigating sharepoint attend pwl elite coaching call meeting linda training questions vonage issues read eat frog staff meeting onboarding linda watch video uploading documents client matter watch video uploading documents client matter review complete exercises routine outgoing correspondence review revise psps review complete exercises routine outgoing correspondence read cell phone usage policy email melissa completed exercises eat frog register fls webinars watch video setting word branding review divorce intake questionnaire draft initial pleadings review divorce intake questionnaire draft initial pleadings listen sales process listen charles marlatt initial call listen bernardo muguerza initial call watch video updating calendar clio manage read policies procedures pre conditioning leads watch video update spreadsheets review onenote firearm training watch video save documents meeting deidre training watch video familiarize sharepoint folders watch video extracting adobe pages watch video combining files adobe watch video combining files adobe draft response final exercise mindset training deidre draft response final exercise mindset draft response final exercise mindset watch video sending initial intake form watch video sending email campaigns watch video entering pncs clio grow watch video adding pre engagement glidepath receipt message deidre review respond watch policies procedures meeting training purposes training secure message deidre meeting deidre training watch video entering payments systems watch client outstanding balances watch video watch video training folder watch handling telephone calls time entries task entries melissa staff meeting updating calendar deidre staff meeting training linda placing outbound calls training linda placing outbound calls attend pwl elite coaching call read atf firearms handbook draft meeting agenda meeting melissa weekly check attend pwl elite coaching call read atf firearms handbook watch video watch video attendance policy watch video log clio manage watch video accounting time clio manage read policies accounting time watch video setting email signature watch video save file read policies procedures saving files read eat frog exercises download section read policies procedures dress code email melissa employee handbook acknowledgement meeting madeline yesterday tasks read eat frog exercises download section attend pwl elite coaching call questions judgment divorce telephone conference kayelyn training staff meeting read eat frog exercises download section training resources quickbooks listen january lqm manage law firm receipt message rosie teams review respond watch video uploading documents client matter meeting melissa weekly check watch video sending documents client watch video setting word branding training deidre questions clio grow kanban board read eat frog exercises download section review onenote policies procedures watch dreams lives wintley phipps watch melissa loom video read eat frog exercises download section review onenote policies procedures watch quickbooks video review onenote policies procedures ahead closing files secure message team teams secure message royce answer questions divorce child support spousal support icle legal research meeting rosie watch clio clients videos training staff meeting psps staff meeting procedure left voicemail telephone conference linda telephone conference rosie day letters staff meeting psp read day lawfirm turnaround meeting linda pnc watch core values video attend pwl elite coaching call psp monthly meeting staff meeting read research guardianship attend pwl elite coaching call strategy meetings staff meeting ein application video secure message melissa record video file watch psp training video watch staff meeting training intake moving documents matters film video watch video completing checklist intake meeting deidre weekly check draft policy system procedure uploading marketing spreadsheet gngf meeting madeline introduction firm software watch psp meeting training staff meeting monthly training staff meeting proofreading secure messages secure message team teams read policies procedures pre conditioning leads watch video updating calendar clio manage watch video scheduling appointment watch client quarterly meetings read atf firearms handbook watch video dress code watch video franklin planner watch video navigating sharepoint meeting linda clio kanban board review microsoft word academy tips tools accounting process wayne county melissa staff meeting staff meeting melissa training presentation lawyaw platform staff meeting watch video dress code watch video setting electronic file watch training video break documents read introduction mindset watch psp meeting meeting madeline training meeting deidre introduction firm software watch dreams lives wintley phipps policies systems procedures staff meeting watch video employee handbook email melissa proper email signature read cell phone usage policy read employee handbook meeting melissa watch video processing documents watch video creating pdf watermark outbound call issues telephone conference linda meeting deidre creating invoices attend pwl elite coaching listen policy procedure meeting draft response final exercise mindset training linda attend clio grow intake webinar adding expense client file telephone conference linda drafting mediation summaries staff meeting draft revised psps review onenote meeting melissa recap friday training watch video adding channels microsoft teams listen time entries policies procedures meeting watch video secure messaging clients review onenote staff meeting onboarding deidre training meeting deidre training time review microsoft word academy tips tools policies procedures staff meeting review onenote training staff meeting prepare presentation psp meeting revise psps meeting deidre recap yesterday training watch video franklin planner telephone conference linda kajabi meeting melissa email rules triage meeting deidre sales process watch staff training video prepare presentation psp meeting transferring calls telephone conference rosie listen time entries policies procedures meeting update records time entries week policies procedures staff meeting secure message clarity telephone conference linda division secure message team teams lawyaw staff meeting revise psp watch video employee handbook watch video save file read policies procedures saving files check emails read assignment policies procedures staff meeting drafting issues onenote secure message team teams review revise revised psps review onenote kayelyn acuity calendar staff meeting setting windows film video meeting deidre training questions vonage issues read policies accounting time meeting deidre yesterday training read policies procedures psps staff meeting zoom meeting staff meeting review presentation melissa training deidre time entries tasks watch family law software video loom read family law institute book prioritize day prioritize day review onenote training deidre placing outbound calls meeting rosie monthly file reviews watch video closing files clio grow read policies procedures attendance email melissa signed acknowledgement cell phone usage policy watch training video processing law pay emails recording transaction motion fee telephone conference rosie meeting deidre weekly check watch video familiarize sharepoint folders issues placing outbound calls telephone conference deidre watch reviewing documents deadlines watch handling telephone calls loom video film video meeting deidre clio kanban board watch video calendaring appointments receipt message melissa review respond review onenote enter terms define listen talandra dildy initial call draft email melissa training listen january lqm manage law firm watch video mission core values telephone conference deidre kajabi training linda time entries tasks revise psps meeting melissa introduction firm software watch video technology software requirements watch video accounting time clio manage telephone conference linda testing vonage revise onenote atf form prepare training presentation email melissa properly set email signature listen jessica mccarty initial call review onenote read eat frog exercises download section training tasks meeting linda yesterday training training deidre watch training video loom family law software policies procedures staff meeting staff meeting lawyaw platform staff meeting review complete exercises routine outgoing correspondence read atf firearms handbook policies procedures staff meeting read handbook legal terms receipt message deidre review respond training melissa meeting melissa introduction firm software drafting mediation summaries staff meeting watch video familiarize sharepoint folders psp monthly meeting staff meeting prepare presentation telephone policies psps staff meeting drafting inventory film video read trust administration research listen decisions receipt message melissa review respond staff meeting onboarding linda read introduction mindset review onenote watch video listen dorris initial call meeting linda yesterday training watch video setting email signature review complete exercise understanding contract legal services review onenote read atf firearms handbook draft procedures onenote receipt motions watch video sending pre engagement agreement documents potential client prepare training meeting watch psp meeting review onenote policies procedures meeting linda time entries tasks,TRUE,FALSE,FALSE,medium
93,Wealth Planning Law Group,4284,time for marketing,NA,NA,2018-07-02,,466.18805555555554,0,0,1468,7,Matter name: time for marketing Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4285,time for in-office bookkeeping,NA,NA,2018-07-02,willenbrock balance due telephone conference left voicemail update clio notes review time entries corrections april june billing nov billing review time entries wednesday update daily receipt schedule update daily receipt schedule update checkbooks review time entries wednesday update clio manage update budget analysis review time entries thursday review time entries weekend telephone conference lender funding process payroll update clio manage pre billing update quickbooks,12.693333333333333,0,0,19,3,Matter name: time for in-office bookkeeping Practice area: Matter category: Time entry evidence: willenbrock balance due telephone conference left voicemail update clio notes review time entries corrections april june billing nov billing review time entries wednesday update daily receipt schedule update daily receipt schedule update checkbooks review time entries wednesday update clio manage update budget analysis review time entries thursday review time entries weekend telephone conference lender funding process payroll update clio manage pre billing update quickbooks,TRUE,FALSE,FALSE,medium
93,Wealth Planning Law Group,4295,"v grainger

collections - plaintiff",NA,NA,2017-04-20,,0.2,0,0,1,1,Matter name: v grainger collections - plaintiff Practice area: Matter category: Time entry evidence:,FALSE,FALSE,FALSE,low
93,Wealth Planning Law Group,4305,madere - 1/30/2024,NA,NA,2024-02-29,test,1.5,0,0,1,1,Matter name: madere - 1/30/2024 Practice area: Matter category: Time entry evidence: test,FALSE,FALSE,FALSE,low
